p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
1.1705384168890008e-33	-3.355927755869999	0.054	0.86	2.2611290599044828e-29	Fez1
3.9980327796987757e-29	-3.165119648072112	0.208	0.98	7.722999920544125e-25	Zeb1
1.9472461578562674e-27	-3.2945320506981606	0.083	0.82	3.7614954031309516e-23	Dclk1
4.76651397513958e-27	6.825470600354171	1	0.12	9.207475045777126e-23	Krt8
5.5269624012857575e-27	5.746298483035251	1	0.18	1.0676433270563698e-22	Epcam
1.0311468700586024e-26	3.7855268031181124	1	0.54	1.9918664088922022e-22	Krt7
1.1595097304357606e-26	4.986109348041008	0.994	0.1	2.2398249462827586e-22	Vwf
2.1388629582689152e-26	6.000066657665474	0.988	0.1	4.1316415764880634e-22	Krt18
2.6587656859512034e-26	5.569178757144778	0.982	0	5.135937675551939e-22	Cldn7
2.771018445874107e-26	3.150678590222727	1	0.54	5.352776331895013e-22	Spint2
2.80690327622826e-26	-4.066874379399968	0.024	0.66	5.42209505869013e-22	Gpc3
2.8808549366362465e-26	3.081690665105709	1	0.92	5.564947481100238e-22	Cd9
3.560118329285442e-26	4.663192094948957	0.988	0.14	6.8770805766806885e-22	Mctp2
3.628225770431187e-26	4.804800293114799	0.982	0.06	7.008643720741923e-22	Cdh1
3.7884605209843765e-26	3.935365591842247	1	0.24	7.318169188385521e-22	Cldn3
4.8908901952792605e-26	-2.3519001789753515	0.065	0.78	9.447732590220948e-22	Jam3
5.793018941023555e-26	3.6115388949361606	1	0.62	1.1190374688375202e-21	Cdc14b
8.722609000927708e-26	2.818024555582273	1	0.78	1.6849463807092055e-21	Limch1
9.041405023946692e-26	-2.85475029182407	0.054	0.72	1.7465282084757824e-21	Tub
9.534061235213203e-26	4.746357182086144	0.976	0.12	1.8416946088061342e-21	Espn
1.067419673186082e-25	4.441293629840942	0.97	0.02	2.0619345826935546e-21	Mapk13
2.0324087867498042e-25	4.7360360029563076	0.964	0.02	3.926004053364597e-21	Rab25
3.3299825382854835e-25	4.9233750179988	0.958	0	6.432527269206068e-21	Tspan1
7.900705410727319e-25	1.9540483455381026	1	0.96	1.5261792641901964e-20	Cystm1
9.849950950737125e-25	2.8812811842194317	0.988	0.56	1.9027150251538905e-20	Msrb1
4.814004169971294e-24	-2.822147788959061	0.03	0.64	9.29921185513355e-20	Fhl1
6.110416741905294e-24	3.463166738330803	0.952	0.2	1.1803492020338457e-19	Atp8b1
1.944518633157511e-23	3.6836014896992317	0.946	0.22	3.756226643670364e-19	Anxa4
4.161955455767122e-23	4.566119867286064	0.911	0	8.039649353905349e-19	Gpx2
1.0973159285632649e-22	-2.8028772539704256	0.232	0.88	2.119685179205659e-18	Nfix
1.3325847049010049e-22	-2.6553837576888215	0.369	1	2.574153874457271e-18	Gpc6
1.4711393077929327e-22	-2.060354108200579	0.054	0.68	2.8417998008636083e-18	Fndc4
2.0385413746783718e-22	-2.3475846157630436	0.321	0.98	3.937850373466211e-18	Rbms3
2.4380854905820685e-22	-2.924838350577054	0.054	0.66	4.709649742157381e-18	Clmp
2.451634286770036e-22	-2.6547610780423696	0.018	0.56	4.735821951753679e-18	Miat
3.4074519749096984e-22	1.6509575234266145	0.994	0.98	6.582174979933064e-18	Reep5
4.419599860843757e-22	-2.6763357463687614	0.03	0.6	8.537341051191885e-18	Dbn1
5.831320260997099e-22	-3.422399615080694	0.149	0.76	1.1264361348168095e-17	Ttc9b
6.5368533497674735e-22	-1.9428390339722086	0.006	0.52	1.2627239615745829e-17	Gnai1
7.445069857402259e-22	-2.1358010857576404	0.006	0.52	1.4381641443543944e-17	Cnksr2
1.0070573195672838e-21	3.830604085423289	0.881	0.02	1.9453326242081223e-17	Sult2b1
