p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
1.0880357503735586e-34	3.5138425568224076	0.949	0.084	2.101758658996603e-30	Fez1
5.002323414831304e-32	3.8070988775389596	0.974	0.14	9.662988140429629e-28	Ttc9b
2.353026871048016e-30	2.969345307119846	0.718	0.017	4.5453420068034527e-26	Miat
3.058289033204624e-28	3.8205195856538867	0.769	0.045	5.907696925441372e-24	Grm7
4.9657114540095755e-28	3.0418154170177054	0.821	0.073	9.592264815710297e-24	Tub
1.3583337492728284e-27	4.105788011885293	1	0.223	2.6238933034703227e-23	Rbfox1
2.5692028644839746e-27	3.196641816000396	0.795	0.061	4.962929173323694e-23	Clmp
3.445182784789862e-26	2.9440704088131473	0.718	0.039	6.655059585378577e-22	Dbn1
8.396848103270179e-26	3.219686451439087	0.923	0.156	1.6220191481087004e-21	Rtn1
1.0509519317438186e-25	3.7909321682122883	0.821	0.084	2.0301238465495342e-21	Sox11
8.055545419540303e-25	2.794711742150307	0.821	0.089	1.5560897086926004e-20	Spock1
1.153951005959104e-24	3.076606148780201	0.974	0.257	2.2290871582112013e-20	Zeb1
3.307704036374525e-24	3.409055445716838	0.821	0.112	6.389491887064669e-20	Dock10
5.5943903260461424e-24	2.788384554373057	0.897	0.19	1.0806683792823334e-19	Tagln3
6.083154819323157e-24	4.139215598505964	0.897	0.179	1.1750830164486544e-19	Sox6
8.124107640130202e-24	3.136048774522881	0.821	0.117	1.5693338728439512e-19	Gria2
5.330788943663058e-23	2.490175466500138	0.744	0.067	1.029748500247393e-18	Tafa5
5.552065872341545e-23	2.473182566624745	0.564	0.011	1.0724925645602163e-18	5330434G04Rik
2.1330712511468384e-22	3.1593249257802576	0.487	0	4.120453735840348e-18	Erbb4
2.139256911612425e-22	2.5178377033826056	0.897	0.162	4.132402576161721e-18	Vat1l
2.3955314626221704e-22	2.2249835029137435	0.59	0.022	4.627448126347247e-18	Cnksr2
3.4229562096755915e-22	2.352543157643116	0.513	0.006	6.61212451023034e-18	Sgip1
1.4404631157230136e-21	2.8227450923586335	0.564	0.022	2.7825426006421457e-17	Stmn4
1.5184995416145427e-21	2.3754038088049207	1	0.816	2.933285564536812e-17	Ank2
2.7737443025414102e-21	2.761715499192393	0.872	0.179	5.358041869219242e-17	Zcchc12
3.2889329229665655e-21	2.858525254615303	0.462	0	6.353231727294514e-17	Slc44a5
3.878375129408133e-21	3.6957934852514844	0.513	0.011	7.49185723747769e-17	Grik2
1.012607060634145e-20	-5.162626158426114	0.231	0.972	1.956053059026978e-16	Ifitm3
1.1830143385414085e-20	-3.085205192194999	0.897	1	2.285228797760439e-16	Cd9
1.4052952937317468e-20	3.096789057906248	0.744	0.106	2.7146089189016153e-16	Pdzrn4
2.161561933732326e-20	-6.722170604201727	0.103	0.95	4.175489187390734e-16	Krt8
4.467230085563781e-20	3.3728230515696898	0.821	0.156	8.629348356283556e-16	Myt1l
5.1112616951991397e-20	2.958962818087723	0.487	0.011	9.87342421661618e-16	Mgat4c
7.027826116978109e-20	-4.8079916621073515	0.103	0.939	1.3575651710166612e-15	Vwf
1.0231377871749338e-19	-5.867093133946273	0.103	0.933	1.9763952634858197e-15	Krt18
1.1032047694080528e-19	-5.47966864258677	0	0.922	2.1310606530655354e-15	Cldn7
1.1106135180854194e-19	-4.706228431874093	0.051	0.927	2.1453721328856047e-15	Cdh1
1.273646922708139e-19	-5.431557405508881	0.231	0.939	2.4603037605953118e-15	Epcam
1.6529451387094481e-19	2.9063192515302902	0.795	0.134	3.192994124445041e-15	Dclk1
2.728205666888436e-19	2.103934864359639	0.538	0.028	5.270074886728392e-15	Fbll1
2.810441316744427e-19	-4.685484903267186	0	0.911	5.42892949155521e-15	Rab25
2.961829741624951e-19	3.340053123086574	0.821	0.168	5.721366511896918e-15	Nkain3
2.986383382047739e-19	2.088617470638156	0.538	0.028	5.7687967791016176e-15	Plppr5
3.1677999051941197e-19	2.397369257168066	0.974	0.363	6.119239076863481e-15	Rbms3
3.574367700937664e-19	-4.338265662993029	0.026	0.911	6.904606087901286e-15	Mapk13
4.1950936427210593e-19	-4.40908050348459	0.179	0.927	8.10366238964427e-15	Mctp2
4.798943246617602e-19	2.0574644820504737	0.641	0.061	9.270118669491221e-15	Astn1
5.681492506650234e-19	-3.3963022444939166	0.615	0.978	1.0974939075096258e-14	Cdc14b
7.057397857346077e-19	-4.555863600871108	0.154	0.916	1.3632775441035418e-14	Espn
7.060079126854391e-19	-4.834986275879397	0	0.899	1.3637954849344628e-14	Tspan1
7.295352963382655e-19	1.9693099372440177	0.41	0	1.4092433319366275e-14	Adgrb2
7.870766462309537e-19	-2.8226113020821133	0.487	0.978	1.5203959575243334e-14	Msrb1
8.888463245400954e-19	2.6078794997787385	0.641	0.073	1.7169844451141023e-14	Dgki
1.1255835828830384e-18	-3.598379866731843	0.308	0.939	2.174289807055165e-14	Cldn3
