source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence	norm_str
A/N	P/Y	Tgfb2	Tgfbr1	2.561042038268221e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	3.729269762069126e-5
A/N	P/Y	Tgfb2	R2	2.561042038268221e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	3.729269762069126e-5
P/Y	P/Y	Tgfb2	Tgfbr1	9.28029496568429e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	1.3786983146453908e-4
P/Y	P/Y	Tgfb2	R2	9.28029496568429e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	1.3786983146453908e-4
A/N	P/Y	Tgfb2	Acvr1b	6.937011485931107e-7	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	9.34140651411169e-6
A/N	P/Y	Tgfb2	Tgfbr2	6.937011485931107e-7	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	9.34140651411169e-6
P/Y	P/Y	Tgfb2	Acvr1b	2.5137362318960935e-6	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	3.6584600683356545e-5
P/Y	P/Y	Tgfb2	Tgfbr2	2.5137362318960935e-6	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	3.6584600683356545e-5
A/N	P/Y	Tgfb2	Acvr1	5.893456797011611e-6	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	8.717394615143196e-5
A/N	P/Y	Tgfb2	Tgfbr	5.893456797011611e-6	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	8.717394615143196e-5
P/Y	P/Y	Tgfb2	Acvr1	2.1745500815090824e-5	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	3.2445525854251636e-4
P/Y	P/Y	Tgfb2	Tgfbr	2.1745500815090824e-5	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	3.2445525854251636e-4
P/Y	A/N	Bmp4	Bmpr1a	7.747354125772151e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0011586204020489178
P/Y	A/N	Bmp4	Acvr2a	7.747354125772151e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0011586204020489178
P/Y	A2	Bmp4	Bmpr1a	5.7523711836850964e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	8.600013910517471e-4
P/Y	A2	Bmp4	Acvr2a	5.7523711836850964e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	8.600013910517471e-4
P/Y	P/Y	Bmp4	Bmpr1a	5.230694830302262e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	7.819142688907823e-4
P/Y	P/Y	Bmp4	Acvr2a	5.230694830302262e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	7.819142688907823e-4
