source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
A/N	P/Y	Tgfb2	TGFbR1_R2	2.561042038268221e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
P/Y	P/Y	Tgfb2	TGFbR1_R2	9.28029496568429e-6	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
A/N	P/Y	Tgfb2	ACVR1B_TGFbR2	6.937011485931107e-7	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815
P/Y	P/Y	Tgfb2	ACVR1B_TGFbR2	2.5137362318960935e-6	0	TGFB2_ACVR1B_TGFBR2	Tgfb2  - (Acvr1b+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815
A/N	P/Y	Tgfb2	ACVR1_TGFbR	5.893456797011611e-6	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829
P/Y	P/Y	Tgfb2	ACVR1_TGFbR	2.1745500815090824e-5	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829
P/Y	A/N	Bmp4	BMPR1A_ACVR2A	7.747354125772151e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp4	BMPR1A_ACVR2A	5.7523711836850964e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp4	BMPR1A_ACVR2A	5.230694830302262e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp4	BMPR1A_ACVR2B	6.346518565815326e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp4	BMPR1A_ACVR2B	4.732676659696132e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp4	BMPR1A_ACVR2B	4.5697559190239726e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A/N	Bmp4	BMPR1A_BMPR2	1.1575350692867565e-4	0	BMP4_BMPR1A_BMPR2	Bmp4  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	A2	Bmp4	BMPR1A_BMPR2	8.594257631094338e-5	0	BMP4_BMPR1A_BMPR2	Bmp4  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp4	BMPR1A_BMPR2	1.009501403260393e-4	0	BMP4_BMPR1A_BMPR2	Bmp4  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
P/Y	P/Y	Bmp4	BMPR1B_ACVR2A	5.268876817062206e-5	0	BMP4_BMPR1B_ACVR2A	Bmp4  - (Bmpr1b+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264
