p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
1.2012558085655302e-35	1.7679533500286877	0.727	0	2.3204658454060346e-31	Trim16
1.2012558085655302e-35	2.262216643961054	0.727	0	2.3204658454060346e-31	Bmp4
2.5241829964343647e-34	3.8646669939928704	1	0.024	4.875964294212263e-30	Akr1c14
1.4162620431585827e-33	2.6691345812600176	1	0.024	2.7357933887694344e-29	Lpar1
4.8705920937509976e-32	4.07609916477418	0.909	0.019	9.408522747498801e-28	Slc1a3
8.415453585986433e-32	2.1815892104334145	0.909	0.019	1.6256131692049992e-27	Smo
9.276910388877304e-32	2.2930587081498834	0.727	0.005	1.792020779819429e-27	Nog
2.927090124482155e-31	1.3660812846027157	0.636	0	5.654259993462179e-27	Slc26a11
4.465222420269655e-31	4.6649514662608	1	0.034	8.625470149234893e-27	Gxylt2
5.4254434884898784e-30	2.9428934253302463	1	0.034	1.0480329186715898e-25	Rest
2.1232345938260533e-29	2.5411839594371055	0.909	0.024	4.101452264893787e-25	Icam1
4.019876575006994e-27	3.207547500474652	1	0.043	7.76519557994101e-23	Spats2l
6.573574184259762e-27	1.3642870546708163	0.545	0	1.2698173251734583e-22	Chst1
6.573574184259762e-27	1.3380362462771882	0.545	0	1.2698173251734583e-22	Ccdc102a
8.245191703919426e-27	3.751614608656279	0.909	0.034	1.5927236814461154e-22	Rai14
3.3492688179616475e-26	2.9478505427565307	1	0.048	6.469782575656515e-22	Runx1
1.11525880290018e-25	2.1460022700883092	0.727	0.014	2.1543454295622777e-21	Car14
3.4432861988453587e-25	2.375978661766999	1	0.048	6.651395950309579e-21	Hspg2
2.5766949770234016e-24	4.360963714011253	1	0.063	4.977401687116105e-20	Lhfp
3.0091216908512583e-24	2.627874665634092	0.909	0.039	5.812720370217376e-20	Tcf7l2
3.409902437873528e-24	1.4770567252281095	0.636	0.01	6.586908539240295e-20	Elfn1
4.1276827926129455e-24	1.9236250165132185	0.818	0.029	7.973444850490427e-20	Flrt2
5.710733837911431e-24	2.5206105978216495	0.727	0.019	1.103142455469351e-19	Slco2a1
1.2867023078156308e-23	2.5905783383095975	0.818	0.029	2.4855228480074542e-19	Stxbp6
3.1890684048096405e-23	1.7134741917920069	0.545	0.005	6.160323437570783e-19	Tnnt2
3.1890684048096405e-23	1.6365078917711393	0.545	0.005	6.160323437570783e-19	Gjb4
3.518627091598045e-23	2.1600876475459705	0.909	0.043	6.7969319528399445e-19	Prtg
1.2858512244114148e-22	2.964359502030773	0.818	0.034	2.48387881019553e-18	Antxr2
1.3666748249500248e-22	1.7240903317862346	0.455	0	2.640005759355963e-18	Trim54
1.3666748249500248e-22	1.7451947283775802	0.455	0	2.640005759355963e-18	Ereg
1.3666748249500248e-22	1.1812235806693097	0.455	0	2.640005759355963e-18	Acsbg1
2.0103334303883806e-22	3.6510352545149174	0.727	0.024	3.883361087481235e-18	Myof
2.3221271917260787e-22	3.0799080986391183	0.909	0.053	4.485653096257266e-18	Ccn1
2.3221271917260787e-22	3.008199380426325	0.909	0.053	4.485653096257266e-18	Abcg2
4.04330183509346e-22	3.448650016208312	1	0.077	7.810446154850037e-18	AU020206
6.4661504718884e-22	3.7931024788267793	0.636	0.014	1.2490662866546823e-17	Hmcn1
8.409779196833473e-22	1.5031293673339343	0.636	0.014	1.624517047452322e-17	Tead4
1.2966280416847302e-21	1.8341168525637004	0.727	0.024	2.5046963881223933e-17	Gpx8
1.3672462038675201e-21	2.8433185246463872	0.909	0.053	2.6411094920108886e-17	Aox1
2.42231305261113e-21	2.803309486675368	0.818	0.039	4.67918212372892e-17	Rasl11a
