source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence	norm_str
P/Y	P/Y	Tgfb1	Tgfbr1	8.893500925365941e-6	0	TGFB1_TGFBR1_TGFBR2	Tgfb1 - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	7.117265451176807e-4
P/Y	P/Y	Tgfb1	R2	8.893500925365941e-6	0	TGFB1_TGFBR1_TGFBR2	Tgfb1 - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	7.117265451176807e-4
P/Y	P/Y	Tgfb2	Tgfbr1	4.226892515939596e-5	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	0.00362076447490521
P/Y	P/Y	Tgfb2	R2	4.226892515939596e-5	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350	0.00362076447490521
P/Y	P/Y	Tgfb1	Acvr1	1.0942652959757091e-5	0	TGFB1_ACVR1_TGFBR1	Tgfb1  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	8.90332843876489e-4
P/Y	P/Y	Tgfb1	Tgfbr	1.0942652959757091e-5	0	TGFB1_ACVR1_TGFBR1	Tgfb1  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	8.90332843876489e-4
P/Y	P/Y	Tgfb2	Acvr1	5.2007847838302886e-5	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	0.004469619466816344
P/Y	P/Y	Tgfb2	Tgfbr	5.2007847838302886e-5	0	TGFB2_ACVR1_TGFBR1	Tgfb2  - (Acvr1+Tgfbr1)	TGFb	Secreted Signaling	PMID: 29376829	0.004469619466816344
P/Y	P/Y	Bmp4	Bmpr1a	3.969081393849588e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.003396053523631001
P/Y	P/Y	Bmp4	Acvr2a	3.969081393849588e-5	0	BMP4_BMPR1A_ACVR2A	Bmp4  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.003396053523631001
P/Y	A2	Bmp4	Bmpr1a	3.480314012708649e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0029700386090004386
P/Y	A2	Bmp4	Acvr2b	3.480314012708649e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0029700386090004386
P/Y	P/Y	Bmp4	Acvr2b	2.208913604139743e-5	0	BMP4_BMPR1A_ACVR2B	Bmp4  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0018618723167789855
P/Y	P/Y	Bmp4	Bmpr2	6.810868890120199e-5	0	BMP4_BMPR1A_BMPR2	Bmp4  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0058729861184287436
P/Y	P/Y	Bmp4	Bmpr1b	2.8657227194691015e-5	0	BMP4_BMPR1B_ACVR2A	Bmp4  - (Bmpr1b+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0024343542171513977
P/Y	P/Y	Bmp6	Acvr1	2.751388843428293e-5	0	BMP6_ACVR1_ACVR2A	Bmp6  - (Acvr1+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.002334699579136875
P/Y	P/Y	Bmp6	Acvr2a	2.751388843428293e-5	0	BMP6_ACVR1_ACVR2A	Bmp6  - (Acvr1+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.002334699579136875
P/Y	A2	Bmp6	Acvr1	1.5505027596818746e-5	0.03	BMP6_ACVR1_ACVR2B	Bmp6  - (Acvr1+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0012879943320435977
P/Y	A2	Bmp6	Acvr2b	1.5505027596818746e-5	0.03	BMP6_ACVR1_ACVR2B	Bmp6  - (Acvr1+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0012879943320435977
P/Y	P/Y	Bmp6	Acvr2b	1.5312226341707853e-5	0	BMP6_ACVR1_ACVR2B	Bmp6  - (Acvr1+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0012711895669537097
P/Y	P/Y	Bmp6	Bmpr2	4.7213727800020585e-5	0	BMP6_ACVR1_BMPR2	Bmp6  - (Acvr1+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.004051758799831987
P/Y	P/Y	Bmp6	Bmpr1a	3.678041605352943e-5	0	BMP6_BMPR1A_ACVR2A	Bmp6  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.0031423801087622156
P/Y	A2	Bmp6	Bmpr1a	3.2251128074079425e-5	0	BMP6_BMPR1A_ACVR2B	Bmp6  - (Bmpr1a+Acvr2b)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.002747602489315015
P/Y	A2	Bmp6	Bmpr2	6.642578237396142e-5	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.005726302172609767
P/Y	P/Y	Bmp6	Bmpr1b	2.6555864635851607e-5	0	BMP6_BMPR1B_ACVR2A	Bmp6  - (Bmpr1b+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	0.002251197192838089
P/Y	P/Y	Wnt4	Fzd2	1.8835527775541054e-6	0	WNT4_FZD2_LRP5	Wnt4  - (Fzd2+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147	1.0073191311428252e-4
P/Y	P/Y	Wnt4	Lrp5	1.8835527775541054e-6	0	WNT4_FZD2_LRP5	Wnt4  - (Fzd2+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147	1.0073191311428252e-4
P/Y	P/Y	Wnt4	Fzd6	1.363390954846923e-6	0	WNT4_FZD6_LRP5	Wnt4  - (Fzd6+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147	5.539404830476913e-5
P/Y	P/Y	Wnt4	Fzd7	1.4841364919697763e-6	0	WNT4_FZD7_LRP5	Wnt4  - (Fzd7+Lrp5)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147	6.591835939307002e-5
P/Y	P/Y	Wnt4	Lrp6	4.6842472358306356e-6	0	WNT4_FZD2_LRP6	Wnt4  - (Fzd2+Lrp6)	WNT	Secreted Signaling	KEGG: mmu04310; PMID: 23209147	3.44843459135173e-4
A2	P/Y	Wnt5b	Fzd2	1.458813794956039e-5	0	WNT5B_FZD2	Wnt5b  - Fzd2	ncWNT	Secreted Signaling	KEGG: mmu04310	0.0012080772426726562
