Gene	SCLC-Y	SCLC-P	SCLC-N	SCLC-A2	SCLC-A	V1	V2	cluster	Subtype
LGALS1	14.193	1.3537	1.6177	5.0271	1.0687	-9.737627257619586	0.2181576707533428	5	SCLC-Y
VIM	13.723	3.5718	3.4533	1.1142	1.1767	-9.810753096852984	0.2869924524000713	5	SCLC-Y
ANXA1	12.134	7.7818	-0.37657	2.1044	0.7081	-10.171148528371539	0.06254633452211111	5	SCLC-Y
IFITM3	11.478	5.3749	-0.45799	2.9251	0.70943	-9.966819991384234	0.01609190489564627	5	SCLC-Y
YAP1	8.4804	2.8728	-0.40293	-0.22383	0.54176	-10.369550933156695	1.0688673474958965	5	SCLC-Y
TPM2	9.8069	4.2677	1.9967	1.9683	1.4014	-10.127836455617633	0.24490710284028738	5	SCLC-Y
CAV1	8.2706	2.1505	0.22002	0.63613	-0.20109	-10.254651297841754	0.8271236636808941	5	SCLC-Y
CNN2	10.403	3.5345	1.7402	2.6684	0.54468	-10.031133879934039	0.3321401097944805	5	SCLC-Y
EMP1	7.3443	1.2686	0.1883	0.33398	0.36543	-10.292253722463336	1.2040074088743755	5	SCLC-Y
OSMR	7.5131	1.8032	-0.31949	0.92896	-0.27182	-10.21856712273189	1.1381899335554668	5	SCLC-Y
AHNAK	7.6939	3.5216	0.32856	1.6262	0.10716	-10.520004500661578	0.6530916907957622	5	SCLC-Y
MICA	7.9688	1.5645	-0.34894	0.72578	-0.12317	-10.032823790822711	1.45802392746721	5	SCLC-Y
MSRB3	6.7495	0.73263	0.45257	-0.090117	-0.28132	-10.256485213552203	1.3797317960432598	5	SCLC-Y
MAGEA4	7.7205	1.9578	1.832	2.0435	0.15473	-10.224452246938434	0.6658736684492657	5	SCLC-Y
GPX8	8.0278	2.0845	1.1999	-0.18183	0.23384	-10.055270423207965	0.9393298843077251	5	SCLC-Y
TNFRSF10B	7.6492000000000004	4.1131	0.60662	0.98235	0.21242	-10.521180381093707	0.4892572381666729	5	SCLC-Y
AXL	6.589	0.45109	-0.21264	0.054948	-0.32014	-10.222324599538531	1.4487475373915264	5	SCLC-Y
FSTL1	9.8612	0.71759	2.7304	-0.65684	3.3472	-9.848982085500445	1.0673305013350078	5	SCLC-Y
MRC2	8.0502	-0.32318	1.9663	0.48161	0.4829	-10.001141776357379	1.215811751144273	5	SCLC-Y
CRIM1	8.3922	3.5359	1.2229	2.0861	-0.53649	-10.347018470082965	0.45931186463151663	5	SCLC-Y
MYL9	5.8991	1.7469	0.04036	0.39657	-0.67238	-10.17285179070064	1.3641692617109844	5	SCLC-Y
POU2F3	0.88973	7.7877	-0.56183	-0.26093	0.36395	-5.838004340444293	-3.5945936224290302	1	SCLC-P
LRMP	0.61254	7.5398	1.0534	-0.099683	0.21272	-5.744055022512164	-3.551281549675124	1	SCLC-P
RGS13	0.03243	6.1864	-0.14328	-0.17574	-0.27385	-5.7944404976708554	-3.3314693949052265	1	SCLC-P
AZGP1	1.48	5.7246	-0.72311	3.4683	0.31715	-6.3346626656396054	-3.6151085874864033	1	SCLC-P
AVIL	1.2753	8.2398	0.0093572	3.1898	1.1885	-6.2942411797387265	-3.6995605013200215	1	SCLC-P
PLA2G4A	1.4261	6.2082	0.57144	-0.11145	-0.55526	-6.021193732534137	-3.366323806984084	1	SCLC-P
BMX	-0.23969	6.027	0.32396	-0.10076	0.2125	-5.921356429372516	-3.2245520136186054	1	SCLC-P
PLCG2	1.9025	6.9694	0.048743	2.1255	-0.17445	-6.095149268422809	-3.6324671289750508	1	SCLC-P
CRYM	2.0219	5.4384	-0.5368	3.8743	1.2378	-6.560800780568805	-3.3250025293656758	1	SCLC-P
GFI1B	0.2304	4.4281	-0.17941	-0.18376	-0.13589	-5.9724895851952695	-3.1840582868882588	1	SCLC-P
HOXC10	6.5097	4.9879	2.6697	2.2013	0.92964	-10.558881034169879	0.14834698225770682	5	SCLC-Y
EHF	1.7533	5.5472	-1.7609	3.2417	1.714	-6.477966536794391	-3.3471923849412373	1	SCLC-P
YBX3	10.229	9.7754	2.9523	4.3599	1.9775	-10.276425589833941	-0.315731816632407	5	SCLC-Y
ANXA4	7.4761	7.0369	2.0766	4.759	1.7036	-10.299389113698687	-0.2602218470403126	5	SCLC-Y
