Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,mean,std,n_cells,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes
AC168977.1,ENSMUSG00000079808,GL456212.1,150452,128555,-,-0.0142,-9.713773509224933e-13,0.006807027596962144,3,0.0,,,,,,,,,,,,,,,,False
CAAA01118383.1,ENSMUSG00000063897,GL456216.1,36183,15881,+,-0.0016,-2.2194121997128673e-11,0.3419693994958017,4176,-0.32794487476348877,,,,,,,,,,,,,,,,False
Vamp7,ENSMUSG00000051412,GL456233.1,39148,10738,-,0.0623,-8.627654912335605e-11,0.4390528468815833,6956,-0.09722280502319336,,,,,,,,,,,,,,,,False
Spry3,ENSMUSG00000061654,GL456233.1,106395,101352,-,0.0404,-2.5260765866433423e-12,0.01030825490764275,4,0.0,,,,,,,,,,,,,,,,False
Tmlhe,ENSMUSG00000079834,GL456233.1,334183,159647,+,0.0009,7.755638265455395e-12,0.020824391128976213,20,-0.5553889274597168,,,,,,,,,,,,,,,,False
CAAA01147332.1,ENSMUSG00000095742,JH584295.1,1479,66,-,-0.0111,-1.784142863248043e-12,0.06339042263795171,137,-0.11147558689117432,,,,,,,,,,,,,,,,False
AC149090.1,ENSMUSG00000095041,JH584304.1,59690,52190,-,-0.1319,3.8389832643682035e-11,0.24834717791586167,2023,-0.34075450897216797,,,,,,,,,,,,,,,,False
Xkr4,ENSMUSG00000051951,1,3671498,3205901,-,0.0031,-3.1145597397217994e-13,0.02875565493683917,37,0.6838987767696381,0.014802196437969676,0.004944804217582371,0.07330321961985645,39.637125257779985,30.77288818359375,0.7293086051940918,0.03554956987500191,3.2150718404995526e-21,0.0,0.0,0.21980106220298995,2.384638197021051,0.12302408588183081,0.7299075060804997,9.857661462006973,False
Rp1,ENSMUSG00000025900,1,4409241,3999557,-,-0.0081,3.746243402982505e-12,0.011534390019312194,5,-0.05597090721130371,,,,,,,,,,,,,,,,False
Gm37323,ENSMUSG00000104328,1,4586252,4583129,-,0.0019,-3.2165010661697103e-13,0.005127548931141867,4049,0.0,,,,,,,,,,,,,,,,False
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.0551,-2.2254412519868082e-11,0.4692651522085613,7904,-0.032742857933044434,,,,,,,,,,,,,,,,False
Rgs20,ENSMUSG00000002459,1,5070285,4909576,-,0.0352,1.270817276516117e-12,0.008637055426158696,5,-0.14887690544128418,,,,,,,,,,,,,,,,False
4732440D04Rik,ENSMUSG00000090031,1,6215293,6209866,-,-0.0466,1.937948282493564e-11,0.07603716205879274,205,-0.03917515277862549,,,,,,,,,,,,,,,,False
Gm26901,ENSMUSG00000097797,1,7397869,7349406,-,-0.007,2.442430057618873e-11,0.06421151521971691,153,-0.845471978187561,,,,,,,,,,,,,,,,False
2610203C22Rik,ENSMUSG00000079671,1,9631175,9560832,-,-0.0094,-2.9280706688866054e-12,0.01597421231037679,9,-0.05986464023590088,,,,,,,,,,,,,,,,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,-0.0197,2.1409714358976517e-11,0.19620058473486668,1401,-0.13459312915802002,,,,,,,,,,,,,,,,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.06,-8.672703077706814e-11,0.37265751227239335,5065,-0.35519087314605713,,,,,,,,,,,,,,,,False
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0936,5.3676168748946245e-11,0.5006591799496685,7773,0.061348021030426025,0.30405518070477683,2.7538595808521587,0.17019585358329387,10.5789941715605,0.13382313871135315,0.040114592760801315,0.3549637496471405,0.21916794939405557,0.0,0.0,0.4078613171953445,0.12280261907016182,1.3496082646065743,1.093221156234078,2.891893784233652,True
Tcf24,ENSMUSG00000099032,1,9967932,9960163,-,0.0216,6.16759731174539e-12,0.0495594724420028,80,-0.004553675651550293,,,,,,,,,,,,,,,,False
Ppp1r42,ENSMUSG00000025916,1,10009136,9968624,-,-0.0076,3.639030211324837e-12,0.018086787602535948,8,-0.10376954078674316,,,,,,,,,,,,,,,,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0817,1.447147904951777e-10,0.5330900788365237,8475,-0.09111607074737549,,,,,,,,,,,,,,,,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0478,-9.827589519466619e-11,0.4709383263481044,7311,-1.1862740516662598,,,,,,,,,,,,,,,,False
Slco5a1,ENSMUSG00000025938,1,12992650,12866549,-,-0.0223,4.798729080460254e-12,0.09190193315790211,321,-0.36817896366119385,,,,,,,,,,,,,,,,False
Prdm14,ENSMUSG00000042414,1,13127163,13113457,-,0.0088,-3.0386720576232043e-13,0.004984956655035017,948,-0.011937260627746582,,,,,,,,,,,,,,,,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0526,-3.5436768594168026e-11,0.22656392677087164,1927,-3.4174365997314453,,,,,,,,,,,,,,,,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.1113,1.1428331436312756e-10,0.4935511142585207,8014,-0.05814719200134277,,,,,,,,,,,,,,,,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0426,-2.9515259953215475e-11,0.41911669029944504,6133,-0.3637559413909912,,,,,,,,,,,,,,,,False
Eya1,ENSMUSG00000025932,1,14310235,14168954,-,0.019,4.817954757865944e-12,0.027555827047289295,27,-0.10090398788452148,,,,,,,,,,,,,,,,False
Msc,ENSMUSG00000025930,1,14755992,14753346,-,-0.0316,-1.6725137738112549e-12,0.006698727732874284,3,0.0,,,,,,,,,,,,,,,,False
Trpa1,ENSMUSG00000032769,1,14918862,14872648,-,0.0205,-4.703282287347886e-13,0.007977160089017605,71,0.0,,,,,,,,,,,,,,,,False
Sbspon,ENSMUSG00000032719,1,15892722,15853862,-,0.0096,1.7466098443215318e-12,0.016389638517125223,2025,-0.029907822608947754,,,,,,,,,,,,,,,,False
4930444P10Rik,ENSMUSG00000067795,1,16093325,16065979,-,-0.0063,-3.9893280616807e-12,0.01835526355832631,14,-0.15596866607666016,,,,,,,,,,,,,,,,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0577,6.839642881509668e-11,0.25398177398694344,8367,-0.0329134464263916,,,,,,,,,,,,,,,,False
Stau2,ENSMUSG00000025920,1,16520112,16228674,-,-0.0017,5.8076926307108714e-11,0.2289124997159487,1852,-0.3892710208892822,,,,,,,,,,,,,,,,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0133,3.752852229590711e-11,0.09510213288526681,329,-9.47104263305664,,,,,,,,,,,,,,,,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.1479,4.08171344963923e-11,0.5488694213944328,8397,0.015085339546203613,2.264056812206299,7.119533639833696,0.36378841103127657,14.09211737990113,0.03484155060723424,0.08300726860761642,1.1256942749023438,0.24329762862507998,0.0,0.0,0.47249175449946124,0.2725502407241869,4.358557655893523,0.87146567817862,1.8141094787476588,True
Jph1,ENSMUSG00000042686,1,17097889,16964560,-,-0.0642,4.138903831896969e-11,0.29657896926199506,3000,-1.1933069229125977,,,,,,,,,,,,,,,,False
Gm28154,ENSMUSG00000100053,1,17641081,17615084,-,0.0163,-4.864308923362507e-13,0.0021793121364029593,2393,0.03081434965133667,0.05004809166912147,4.624821372603058,6.445398280753784,2.177496436485628,1.6337947964668273,0.004015894141048193,0.001351908897049725,0.00012020686248714539,0.0,0.0,8.457653964956638e-05,0.013709319198043544,0.008199597403792471,3.5775144406418695,0.04381748524810389,False
Il17f,ENSMUSG00000041872,1,20790617,20777146,-,0.0061,3.2433717783399234e-12,0.016028211480885138,11,-0.029235243797302246,,,,,,,,,,,,,,,,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1226,1.487894400103764e-10,0.6189484824178069,8624,-0.001108407974243164,,,,,,,,,,,,,,,,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,0.0125,5.094035485411654e-11,0.187755503135481,1236,-0.37092769145965576,,,,,,,,,,,,,,,,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,-0.0313,-2.362451239611202e-11,0.1849792205151783,1304,-0.4430302381515503,,,,,,,,,,,,,,,,False
Rims1,ENSMUSG00000041670,1,22805994,22286251,-,-0.0129,4.137365777704514e-12,0.04892162604065568,79,0.3641921281814575,0.01564268318195259,0.015279664738658555,0.07070677955755127,20.755263257862328,8.826749897003172,0.2770795226097107,0.02919352613389492,4.2042444952377254e-15,0.0,0.0,0.42256848538870384,0.8307495700571543,0.1270745945411959,2.0620383164442777,7.6425571868918665,False
Gm29506,ENSMUSG00000101227,1,23235673,23048295,-,-0.0003,-3.7247461761186897e-14,0.0036936970185396413,1047,-0.03636443614959717,,,,,,,,,,,,,,,,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.113,-6.142988444666108e-11,0.4250054242207085,5654,0.32590043544769287,1.872075759132992,14.20370199603376,0.763421620735817,16.32301461274246,0.09455530345439911,0.03214823082089424,0.339993953704834,0.07324449734566128,0.0,0.0,0.4970714880954853,0.12141818759672987,2.290478151002578,2.0916073885571467,0.7445820381458625,True
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0915,-1.2450050021917212e-10,0.5383443827409627,8236,-0.302212119102478,,,,,,,,,,,,,,,,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0925,-9.443328308368766e-11,0.4776016904794223,7730,-0.04972410202026367,,,,,,,,,,,,,,,,False
Fam135a,ENSMUSG00000026153,1,24100341,24011093,-,-0.0168,-5.709257162393738e-11,0.2849695437379681,2991,-2.0558719635009766,,,,,,,,,,,,,,,,False
Col19a1,ENSMUSG00000026141,1,24587472,24261890,-,0.0064,-1.985051192137505e-13,0.006690251766900417,3,-0.0342714786529541,,,,,,,,,,,,,,,,False
Adgrb3,ENSMUSG00000033569,1,25829707,25067476,-,-0.0189,-1.4196240196361584e-11,0.05300033289383911,79,0.8375677019357681,0.03820005026923832,0.004282262829306015,0.08983720197693759,18.217507281712283,38.37318356831868,2.9160401821136475,0.08865688741207123,0.18157480741677362,0.0,0.0,0.29856402808529425,9.461931465400937,0.19462993712132348,0.4667265652968383,7.099792224250477,False
Gm9898,ENSMUSG00000053185,1,30719962,30718560,-,-0.0107,5.660039428235171e-12,0.04698416868705326,89,-0.004620671272277832,,,,,,,,,,,,,,,,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0794,6.538604821481696e-11,0.5173148146211483,8139,-1.697136402130127,,,,,,,,,,,,,,,,False
Ptp4a1,ENSMUSG00000026064,1,30949309,30940302,-,0.002,5.72226753877562e-13,0.009331477476838209,15,-0.6644753217697144,,,,,,,,,,,,,,,,False
Ptp4a1-1,ENSMUSG00000117310,1,30949770,30940302,-,-0.0243,-2.560860230437924e-12,0.04072917579454736,60,-0.006662845611572266,,,,,,,,,,,,,,,,False
